"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C404230WA",7902.06011388958,5.16279122201147,0.204469980764911,3.91055951743083e-142,2.34711782236198e-138
"CAALFM_CR09350CA",1174.7420332167,8.17393601576186,0.338096693096044,4.20526180615824e-129,1.26199906802809e-125
"CAALFM_C302860WA",4665.24953001509,4.68173370830887,0.199923344941317,1.67974541333827e-122,3.36061065695209e-119
"CAALFM_C305130CA",148044.565079694,11.5456384262279,0.517948606619506,2.79421286485899e-111,4.19271640372092e-108
"CAALFM_C503480CA",19328.82791983,3.88761275460135,0.199081798742485,1.90461341674423e-86,2.28629794545978e-83
"CAALFM_C203370WA",3682.20428227489,4.44664348681278,0.228356911327003,1.12248964271744e-85,1.12286380593167e-82
"CAALFM_CR09290WA",71545.15853897,9.30994985717376,0.49680353291102,1.50458492473612e-79,1.29007410260946e-76
"CAALFM_CR09360WA",7084.39049298342,6.34557052818135,0.499956647507527,3.50767659617695e-38,2.63163436628176e-35
"CAALFM_C102590CA",28052.7950017401,2.54775475869522,0.252792517694318,3.84670769979093e-25,2.56532662379391e-22
"CAALFM_C404220WA",320.155908111694,1.71097878786805,0.257620380479919,1.4019716214366e-12,8.41463367186246e-10
"CAALFM_C204580WA",5087.6829200704,1.01387574707007,0.174453836270195,2.80012835012787e-10,1.52785185067886e-07
"CAALFM_C102600WA",2442.20991117495,1.18964710270245,0.284417283893628,1.15709795369823e-06,0.000578741826508065
"CAALFM_C302870CA",303.654551331314,1.20927705398957,0.391277368141828,6.79351446170846e-05,0.0313651336916724
"CAALFM_C200760CA",359.680370877278,2.44292299356385,0.892505996399604,0.000171255341400581,0.0734196113633062
"CAALFM_C603170CA",305.978160043283,1.32686012464313,0.547518489692796,0.000426256904063406,0.159899621136785
"CAALFM_CR09270CA",3933.96798872808,1.19335639147831,0.48638056217292,0.000411068863632334,0.159899621136785
"CAALFM_C700770WA",635.909874645947,1.2435834481435,0.527113341136856,0.00049840800758714,0.175967344796354
"CAALFM_C201970CA",2356.01452936839,0.840200749872934,0.378944389732236,0.000712747895901933,0.237661826177967
"CAALFM_CR01980CA",5315.76333459742,0.671205734983122,0.318224602721742,0.000960181444143405,0.303316264618353
"CAALFM_C111490CA",30.7684653677879,1.39641735084587,0.711809117427182,0.00118232439425191,0.354815550714999
"CAALFM_C110270CA",1677.08035928386,0.250171049107622,0.117946278895541,0.00145517764137603,0.415903628739949
"CAALFM_C406510CA",1552.43236241406,0.992831167017347,0.845805126165871,0.00333045551995495,0.908608819580438
"CAALFM_C100020CA",1585.32421743591,-0.00109545451549918,0.0561703029511768,0.889464038411029,0.999708752221059
"CAALFM_C100030CA",54.1648375580755,0.00504566780084931,0.0566668283442969,0.411746676792688,0.999708752221059
"CAALFM_C100040WA",751.885322601398,-0.00313332496702524,0.0554416304399686,0.774586376004619,0.999708752221059
"CAALFM_C100060WA",17369.3567951687,0.0127121947391213,0.0565671694510828,0.508196529906932,0.999708752221059
"CAALFM_C100070WA",6408.4979151704,-0.00132134813810176,0.0559207153901542,0.881091751586909,0.999708752221059
"CAALFM_C100080CA",750.059692121671,-0.00609702637888161,0.0542372539503619,0.717103637806643,0.999708752221059
"CAALFM_C100090WA",108.604738304166,0.0146384624364317,0.0584114667102955,0.172604682028212,0.999708752221059
"CAALFM_C100100CA",1604.70205145393,-0.00159911828960982,0.0557801152018167,0.871019745868138,0.999708752221059
"CAALFM_C100110WA",7851.51071279075,-0.000528178129438552,0.0560962924115412,0.942059693135517,0.999708752221059
"CAALFM_C100120CA",1562.29532028299,-0.0112559594546928,0.0557775747789076,0.477060595715393,0.999708752221059
"CAALFM_C100130CA",1919.13037566569,0.00307520300704918,0.0554630808817822,0.798782678440862,0.999708752221059
"CAALFM_C100140WA",3825.94572311228,0.0200546394495147,0.0528141027828245,0.428341366228662,0.999708752221059
"CAALFM_C100150CA",1539.31255829885,0.00618634889283562,0.0559635288177439,0.487325280654476,0.999708752221059
"CAALFM_C100160CA",16063.4991199353,-0.000394864161779108,0.0565970035412352,0.875913761238728,0.999708752221059
"CAALFM_C100170WA",3308.83275892657,-0.00164360718369287,0.0564648786923479,0.743996155034873,0.999708752221059
"CAALFM_C100180WA",64266.9044981682,-0.0032801221960168,0.0566077793438693,0.741221456709364,0.999708752221059
"CAALFM_C100190CA",33.9608322776516,-0.0030011641228807,0.0566594459371937,0.423955026603163,0.999708752221059
"CAALFM_C100200CA",79.7983210423639,-0.00207780278526413,0.0563588277089381,0.741025369254422,0.999708752221059
"CAALFM_C100210CA",4395.39248768198,6.83168596754135e-05,0.0555833796686845,0.988128553567364,0.999708752221059
"CAALFM_C100220WA",16074.954118194,0.0080206191121638,0.056319431217169,0.478117516867827,0.999708752221059
"CAALFM_C100230CA",954.133841063475,-0.00671784220425974,0.0539432346933755,0.705856303190774,0.999708752221059
"CAALFM_C100240CA",25.9449023465294,-0.00155602161230206,0.0566204527901068,0.595906177269672,0.999708752221059
"CAALFM_C100320WA",611.31817133918,0.0090832962978585,0.0559112147730883,0.508766290656322,0.999708752221059
"CAALFM_C100330CA",1247.31246707112,0.00197186712534745,0.0540083220837885,0.906241334499669,0.999708752221059
"CAALFM_C100340WA",2123.77944038607,-0.00111723032458944,0.0563641847569031,0.844218306439291,0.999708752221059
"CAALFM_C100350CA",2870.87421010888,0.00285281695855356,0.0565384169670124,0.58053672108553,0.999708752221059
"CAALFM_C100360WA",568.348717351568,-0.031855140535236,0.0609863716851997,0.206706559326334,0.999708752221059
"CAALFM_C100370WA",26.3453402992117,-0.000501749849892424,0.0564049475618009,0.923846404222964,0.999708752221059
"CAALFM_C100380CA",1125.93735849013,-0.00196929572454146,0.0544014633603787,0.897713499277625,0.999708752221059
"CAALFM_C100390WA",965.606609336878,0.00606208536017421,0.0553317269426389,0.661701559699953,0.999708752221059
"CAALFM_C100400WA",4313.95720479716,-0.0030316211822201,0.0553191214632596,0.806926511377796,0.999708752221059
"CAALFM_C100410CA",2137.4335782271,0.000259785356779619,0.0532071022211606,0.989273240478228,0.999708752221059
"CAALFM_C100420WA",1812.62045519014,-0.000459128042747042,0.0562944723642057,0.938972101678792,0.999708752221059
"CAALFM_C100430WA",928.784687433239,-0.00205749946952065,0.0553881186701997,0.842606980396374,0.999708752221059
"CAALFM_C100440WA",4735.67861179851,0.012993595938115,0.05526450068651,0.597365832716507,0.999708752221059
"CAALFM_C100450CA",2285.96381995071,-0.00363616941611256,0.0560855659115496,0.685940612568736,0.999708752221059
"CAALFM_C100460WA",2809.4704725446,-0.00217186725515748,0.0562396002980272,0.76379906366633,0.999708752221059
"CAALFM_C100470CA",962.586605526571,0.00942988496440441,0.0543546787490836,0.587070014548263,0.999708752221059
"CAALFM_C100480CA",4385.98378769745,-0.00161275742662394,0.0563195017978196,0.799500964547205,0.999708752221059
"CAALFM_C100490CA",4844.75600577357,0.000409386415615664,0.0563536887544361,0.967807281141464,0.999708752221059
"CAALFM_C100500CA",5025.22264666047,-0.000441967177083313,0.0560796238104044,0.952193570677753,0.999708752221059
"CAALFM_C100510WA",1194.90491026333,-0.0028565533004686,0.0563489917100481,0.674861769075922,0.999708752221059
"CAALFM_C100520WA",808.216113094073,0.00171462197831915,0.0552555627668779,0.887458113771256,0.999708752221059
"CAALFM_C100530CA",935.782653275805,-0.00328019574781143,0.0553747729951894,0.78798284406978,0.999708752221059
"CAALFM_C100540CA",1336.80713195087,-0.0009452604626814,0.0561227422571044,0.900578664965581,0.999708752221059
"CAALFM_C100550WA",739.672282606754,0.0035312729426164,0.0564379076526591,0.596488639836244,0.999708752221059
"CAALFM_C100560WA",1078.15562677208,-0.000122097399485853,0.0564987528444509,0.971217942819077,0.999708752221059
"CAALFM_C100570CA",440.808955198735,0.00893639569915725,0.0563790554162594,0.437805667380841,0.999708752221059
"CAALFM_C100580WA",409.349358338205,0.000674597261634494,0.0563355238620031,0.916690550389933,0.999708752221059
"CAALFM_C100590WA",23623.1020706755,-0.000609714958251689,0.0565250802985673,0.870793341607005,0.999708752221059
"CAALFM_C100600WA",1235.81932394665,0.00657193233921958,0.0548286517241254,0.672675324334705,0.999708752221059
"CAALFM_C100610WA",3498.15303582359,0.00141608784670155,0.0559545511543979,0.859345463201861,0.999708752221059
"CAALFM_C100620WA",1200.00264335807,-0.00255527142066194,0.0540523917163429,0.87411631810955,0.999708752221059
"CAALFM_C100630WA",322.720568986342,0.00264278789919984,0.0565250402701383,0.609419816409557,0.999708752221059
"CAALFM_C100640CA",4792.24347288788,-0.000754586872159679,0.0565408405786669,0.836428726335623,0.999708752221059
"CAALFM_C100650CA",2082.3789706271,0.00436244973211794,0.0552918802063761,0.741274380885742,0.999708752221059
"CAALFM_C100660CA",1233.77607777728,0.00345387328631025,0.0553117994254069,0.781821309995914,0.999708752221059
"CAALFM_C100670CA",358.959149177748,0.00695304177690677,0.0565225037244761,0.4525421315128,0.999708752221059
"CAALFM_C100680WA",314.940161448452,0.000823714905178937,0.0540098672853468,0.961115151809031,0.999708752221059
"CAALFM_C100690WA",512.440703746806,0.00564004549651925,0.0564161994688393,0.511848854237027,0.999708752221059
"CAALFM_C100700WA",937.5340708333,-0.00153020124548132,0.0563822984728728,0.79459378755174,0.999708752221059
"CAALFM_C100710CA",9583.07391344745,-0.00572320578564171,0.0538704477584712,0.732830392804924,0.999708752221059
"CAALFM_C100720WA",4.41119356300452,-0.00317546874708033,0.0567013674128808,0.337670040574024,0.999708752221059
"CAALFM_C100730CA",2183.39639311372,0.00215397733721907,0.0538371142457647,0.899781578153007,0.999708752221059
"CAALFM_C100740CA",4511.41875129163,-0.00303215619859668,0.0563342558735965,0.665205951164764,0.999708752221059
"CAALFM_C100750CA",1192.86742927303,0.00341541891907269,0.0563100160871829,0.652416819209392,0.999708752221059
"CAALFM_C100760WA",932.037662626176,8.40788551183314e-05,0.0554183286031608,0.99638406830673,0.999708752221059
"CAALFM_C100770CA",298.039338721804,0.0026575664794551,0.0556477281196721,0.814800191677531,0.999708752221059
"CAALFM_C100780CA",109.519841686614,0.00276982385605324,0.0565391865583209,0.586627749971635,0.999708752221059
"CAALFM_C100790WA",120.356053566929,-0.00321883538972424,0.0558148677935607,0.753838185687661,0.999708752221059
"CAALFM_C100800CA",2166.87219045882,-0.00086649715474614,0.05641515873217,0.869682043952535,0.999708752221059
"CAALFM_C100810WA",314.371556826911,-0.000540734147478201,0.0557478149854223,0.954684456191493,0.999708752221059
"CAALFM_C100820WA",173.536580101859,0.00108530804940805,0.0554910627848431,0.92504244572661,0.999708752221059
"CAALFM_C100830WA",355.45855192753,0.00126323190598642,0.0564855443903773,0.794659995292752,0.999708752221059
"CAALFM_C100840CA",1662.29013637186,-0.00182996720089795,0.0547148278100616,0.89827699882307,0.999708752221059
"CAALFM_C100860WA",329.923995371788,-0.003393302646982,0.056279848200626,0.656501640009572,0.999708752221059
"CAALFM_C100870WA",2223.06653784926,0.00387888952786172,0.0563883996594264,0.596645190821976,0.999708752221059
"CAALFM_C100880WA",116.682602675864,0.00277900689427681,0.0564265436320517,0.655262567665371,0.999708752221059
"CAALFM_C100890WA",692.408834257872,0.00226242007731894,0.0546708601559129,0.882263067789855,0.999708752221059
"CAALFM_C100900WA",1470.53820963455,-0.000260548942691285,0.0565891140751454,0.920267627478245,0.999708752221059
"CAALFM_C100910WA",344.562402037475,-0.00303417359164231,0.0561469401867327,0.713542751690727,0.999708752221059
"CAALFM_C100920WA",833.142270557584,-0.00072617136263316,0.0537846840828004,0.959132777088733,0.999708752221059
"CAALFM_C100930CA",5534.58104254028,0.00646054804439505,0.0551804779147738,0.656712901264258,0.999708752221059
"CAALFM_C100940WA",866.58537405199,-0.00345654512415515,0.056197912213422,0.672993679797295,0.999708752221059
"CAALFM_C100950CA",4763.85297678751,0.0111697458912876,0.054592805107771,0.554543469887987,0.999708752221059
"CAALFM_C100960CA",1379.37414454536,0.0103931863329189,0.0535605508681947,0.581245530728615,0.999708752221059
"CAALFM_C100970WA",148.651820424804,-0.00822145624546831,0.0557314343847448,0.54670218232763,0.999708752221059
"CAALFM_C100980WA",1159.26754398367,-0.00259229140801568,0.0564343845065088,0.659304640298248,0.999708752221059
"CAALFM_C100990CA",2908.96938757507,-0.00088510173755865,0.0565276432138336,0.820813756471194,0.999708752221059
"CAALFM_C101000CA",504.336497363163,-0.0036285851124348,0.0551809949257706,0.781361643880995,0.999708752221059
"CAALFM_C101010WA",2823.5198320946,-0.000917605283435992,0.0563640435454297,0.871475257007875,0.999708752221059
"CAALFM_C101030WA",4081.74999577116,-0.000407379950718477,0.0565721141107321,0.891676720561081,0.999708752221059
"CAALFM_C101040WA",783.29141578757,0.000250964776535167,0.0564483769255836,0.965022507475618,0.999708752221059
"CAALFM_C101050CA",2964.27720636096,0.00589154842173607,0.0528299880874738,0.7688324420519,0.999708752221059
"CAALFM_C101060WA",13937.3965503889,-0.0131767011564002,0.0554639085692586,0.479184502506231,0.999708752221059
"CAALFM_C101070CA",885.678222370033,0.0368339882923586,0.0660966222578426,0.135177613361552,0.999708752221059
"CAALFM_C101080WA",403.642411253973,-0.000541037379527152,0.055711324917929,0.954002524129404,0.999708752221059
"CAALFM_C101090CA",965.911306736522,-0.00108921196887145,0.0562579705861749,0.868343391544632,0.999708752221059
